annual_revenue,years_in_business,avg_monthly_profit,num_employees,sector,owner_age,has_existing_loan,credit_score,label
687813.6956689763,6,77946.35257559756,11,manufacturing,39,0,663,1
38721.01863709025,6,47264.391713980665,6,services,29,1,783,0
520822.0731583756,8,71493.6613794811,12,retail,37,0,677,1
164428.82175003106,6,25045.766191515446,12,agri,35,0,607,0
60991.59513267691,8,61052.10875090985,11,services,45,1,597,0
258358.51033072715,3,17441.988248089183,10,manufacturing,39,0,766,1
198602.31667859195,5,46334.439266936046,15,services,49,1,613,0
89302.35361972752,6,82270.80284089578,13,tech,36,1,690,0
174521.30153181494,5,74361.14216125054,16,agri,28,0,663,1
110711.87702477394,12,67054.25635248073,10,services,45,0,679,1
182319.75958055077,10,62488.30492856693,17,agri,38,0,747,1
315568.380536663,6,27916.331168290057,12,manufacturing,37,0,669,1
794935.9434753545,4,54274.420191802645,17,services,35,1,707,0
47201.66758655399,7,73498.26659337615,11,retail,39,0,671,1
1373720.5882673187,5,42705.36653855179,19,services,37,0,618,1
23107.492636532068,9,43862.54566188727,18,manufacturing,45,0,684,1
139834.50636416758,5,35893.24000743775,7,agri,47,0,604,0
293114.0925239374,8,41451.52721910262,10,retail,36,0,568,1
215559.41705920716,4,26800.29963674885,11,tech,59,0,690,1
87317.00231355199,7,50722.15158968429,14,manufacturing,34,1,682,0
132174.4274903919,11,40391.73014506185,19,services,40,0,675,1
99409.11268371808,3,5772.630384546018,13,services,23,0,648,0
90276.7510730446,6,128028.26981621534,9,agri,38,0,644,1
380637.2485477057,6,18877.15534571726,13,services,37,0,574,0
232586.03671968885,4,45959.183985480326,17,services,39,0,519,0
81396.73207934485,7,51835.03707852485,10,manufacturing,49,0,712,1
400152.0486284135,8,33953.97148713958,7,agri,56,0,711,1
221305.5314266601,9,47308.46513623236,8,services,51,0,632,1
366906.4239232675,7,25443.656306245837,10,manufacturing,38,0,753,1
305476.7170000375,6,71815.37947410674,13,services,41,1,684,0
71040.46967625224,7,49332.84338494718,8,services,55,0,673,1
92950.18280061705,6,71551.79775042037,15,manufacturing,29,1,791,0
343620.6633615603,5,94096.87015078771,10,manufacturing,47,0,562,1
299649.9579133016,6,41563.13768083693,14,agri,31,1,646,0
159388.2623273799,7,73203.46839910011,14,manufacturing,51,0,590,1
183015.72979778596,4,96090.35441658106,9,manufacturing,38,0,624,1
584005.0422649547,1,46295.968762265926,14,services,31,1,645,0
90077.76314235522,6,70732.97750206015,16,tech,33,1,646,0
281277.60566793976,10,36041.546487475345,11,manufacturing,35,1,574,0
132960.49693584812,8,85916.36105311633,14,agri,49,0,654,1
130916.99779762432,4,35006.05176178113,10,agri,53,0,592,0
488344.7312747561,3,71091.9018863223,11,services,35,0,733,1
371541.6868112697,1,79853.53692759908,10,services,31,0,703,1
367144.0790640751,5,14630.686993685971,8,retail,60,1,674,0
600476.5128939515,6,29998.703247752026,8,retail,48,0,616,0
166209.4205210814,5,28784.5838282014,15,agri,32,0,660,0
321886.0794162027,8,82397.98649002587,10,agri,43,0,699,1
119340.16735423569,5,14739.570915456776,13,services,35,0,626,0
225069.9119021726,5,59770.67692734396,20,retail,27,0,538,0
142893.79566167347,5,71794.33145751935,15,manufacturing,36,0,700,1
179332.33167282928,6,55081.66949496248,10,retail,26,0,687,1
295125.81190448225,6,88241.99022974214,13,retail,35,0,672,1
71810.02123150321,9,-7737.816358959056,14,manufacturing,36,0,596,0
1319003.75122288,8,68237.46645718595,10,manufacturing,34,0,717,1
59514.93797935065,6,44547.40479422632,13,manufacturing,49,1,730,0
48330.17506961087,3,4846.163664708283,15,services,44,0,669,0
518197.0599435974,7,17567.064561884312,10,agri,33,0,622,0
359210.0859577481,5,96953.04321825776,12,retail,43,0,623,1
303798.4651784322,6,68966.641054565,11,retail,53,1,622,0
305084.9401961991,7,74057.23751384401,10,manufacturing,31,0,619,1
160773.726048067,3,78768.93329840894,10,manufacturing,26,1,625,0
66353.09123582352,11,9295.275483402882,12,services,29,0,672,1
175572.01124144768,1,57371.85175459088,16,services,43,0,712,1
82688.7045697272,7,82952.55931613065,13,retail,54,0,751,1
431541.83332579496,3,37921.92358931103,7,agri,48,0,586,0
140497.16905776112,7,90873.39271625478,9,services,52,0,597,1
71289.39112154079,9,31621.803792026498,7,retail,18,0,709,1
118020.5638697316,2,53742.83574016309,10,manufacturing,31,0,586,0
245961.7842515249,6,61926.0208609117,7,manufacturing,28,0,568,1
92621.39553099121,5,72637.95271795981,13,manufacturing,45,0,584,1
71523.37543645366,3,41367.90617799227,13,retail,38,1,637,0
207666.1895302943,6,80363.3635614924,11,services,10,0,764,1
207932.03928941838,4,62840.43427297697,7,manufacturing,47,0,641,1
98032.74403270919,6,836.1914876050514,17,retail,51,0,669,0
101616.54998172006,7,105097.17902086712,10,retail,60,0,566,1
205263.5284821445,7,21264.0381371396,22,manufacturing,41,1,725,0
38250.643341646006,3,107570.01665908046,16,retail,46,0,711,1
39836.395197863065,6,45269.436764233644,10,agri,28,0,617,0
79344.6085722935,5,39682.74523457046,8,services,23,0,601,0
131472.4822555869,8,61977.1452875447,8,retail,52,0,717,1
222105.45389137114,11,29041.60238565905,9,manufacturing,45,1,634,0
711660.4758859022,5,-6577.45818971444,16,agri,52,0,603,0
383716.6325917123,2,46720.739102576874,13,tech,37,1,624,0
138699.01020338907,7,61251.58431035301,15,services,63,1,666,0
159689.05420083317,8,96133.09861661337,12,services,43,1,701,0
59722.88954500822,5,14259.18947251098,14,services,32,0,672,0
159769.40948893342,9,67406.6974895717,10,services,36,0,669,1
121946.94609753422,8,46882.996028895526,12,manufacturing,23,0,633,1
224744.29322140248,6,50991.252173943576,12,retail,30,1,660,0
71165.90045238183,7,79161.34661307618,16,manufacturing,36,0,622,1
273579.22073521884,7,34657.31484039012,13,services,55,1,631,0
753691.8775477629,5,55025.779254867455,11,retail,39,1,749,0
145982.181911853,4,82698.13364605415,15,retail,50,1,652,0
243217.5822991606,6,80888.01158569632,14,manufacturing,39,0,624,1
324533.48252905434,7,13391.444475811479,13,retail,29,0,602,0
108964.72970004036,4,31611.85991796544,22,tech,45,0,495,0
203636.63463124793,6,45688.20914575872,8,manufacturing,31,0,796,1
164817.22321257685,5,74418.15723571472,13,services,36,1,803,0
179454.34309662436,7,42463.91561421924,18,retail,60,1,693,0
75131.12626584293,8,52482.13766764636,16,retail,46,0,577,1
166793.22895017528,3,87509.27566692544,10,services,31,0,841,1
267800.6906587619,6,39840.22436631897,9,manufacturing,47,0,551,1
694636.251080072,10,94194.76271943391,19,agri,30,0,677,1
424756.2806339839,5,1836.9900099249348,13,tech,22,0,530,0
1401680.535933274,5,38217.456861394334,15,agri,50,0,497,0
75557.74196065622,7,9045.664929621411,13,tech,42,1,666,0
389383.748652421,6,53500.9568967741,16,retail,38,1,675,0
195505.15097102712,8,72529.74865334017,9,tech,23,0,658,1
1453962.1908821643,3,45163.50183222693,10,retail,36,0,754,1
72526.09554592098,5,35767.08774050725,18,tech,41,0,646,1
70282.50310319284,9,9211.413581850016,16,manufacturing,28,1,706,0
89375.98979425122,6,100440.0473346977,10,agri,40,0,595,1
19459.764923650688,11,49327.644086183725,12,manufacturing,55,0,740,1
96205.80504335671,5,36435.70947228252,12,manufacturing,42,0,746,1
76180.99784369125,7,96875.97240643429,9,retail,45,0,632,1
189168.56719713326,5,39438.63933884948,13,services,35,1,676,0
229063.82964617162,4,22689.130177004838,6,manufacturing,29,1,601,0
1062537.888825419,1,28691.58334170173,18,tech,34,0,634,1
421015.04071323224,10,24282.801332493007,13,retail,50,1,701,0
91408.73705980313,7,18019.154998564674,14,tech,39,0,683,1
66276.14640135736,2,29196.903716839723,13,tech,37,0,528,0
266177.63656259363,6,122448.51901137126,10,services,34,1,570,0
43467.41226430473,6,15505.311040775818,13,services,27,0,608,0
1016076.0593203468,7,5235.441280600648,13,manufacturing,53,0,665,1
529368.5291357413,4,58340.88402736806,16,retail,37,1,585,0
101806.00279328275,6,47721.0086280608,17,retail,34,0,551,0
29344.64838787171,4,69801.22869712485,8,services,40,0,465,0
630250.333474972,5,33377.47039328167,16,services,34,0,796,1
145140.88273186423,5,23944.598380868363,7,manufacturing,43,0,664,1
561190.8439636973,8,100211.5930244794,12,services,33,0,549,1
33043.241831407795,4,1649.312463335888,7,manufacturing,41,0,722,0
89377.56483563792,5,60817.966977889264,15,agri,39,0,754,1
163610.47017345068,8,70709.08784275805,10,manufacturing,58,1,664,0
170583.5685524429,6,74651.06367544459,14,services,59,1,693,0
103770.24260639063,5,40898.56195588238,12,manufacturing,47,0,741,1
303412.92100434017,5,12553.343306287465,12,agri,39,1,692,0
55959.28046187976,9,94985.42088178333,13,services,48,0,694,1
141155.93990005995,8,36633.672398988645,17,manufacturing,47,1,542,0
183559.77297370683,8,95899.93943243797,13,retail,35,1,458,0
272239.87065444054,4,61042.21839713233,9,tech,23,0,710,1
331576.8471187297,9,35482.279646822644,11,tech,20,0,634,1
52857.65941122459,4,61803.29141850195,14,services,38,1,618,0
35097.522722770154,7,84524.0587117376,14,retail,34,0,718,1
584012.0072149113,4,52462.64751471631,8,manufacturing,34,0,583,1
226911.19579712997,4,27872.526723276467,6,manufacturing,31,0,647,1
76996.3628066936,10,-3626.5898243297333,12,services,31,0,653,1
767698.2071972983,8,37272.29381308165,20,services,46,0,698,1
182713.50055380395,6,74229.21742656472,15,agri,9,0,673,1
529292.8683750993,6,19689.984492906846,9,tech,45,0,673,1
174123.21876747423,5,70434.86193788491,22,manufacturing,37,0,621,1
1277924.6142333976,5,50845.97227160706,12,services,54,0,623,1
941604.7150879289,4,72364.86012730472,10,services,42,1,673,0
126884.92489865619,7,-20176.95701220619,12,retail,22,1,614,0
430013.0994119068,3,7389.946017035798,10,tech,21,0,592,0
310325.1660862946,7,36122.05001481218,12,agri,28,1,740,0
639621.297493403,7,105988.19228804503,9,retail,42,1,602,0
62011.58735700757,8,27371.955161256097,12,services,22,1,617,0
323208.03303200507,11,46196.5008008399,9,agri,41,1,735,0
469031.1611236818,6,114521.92065488151,8,services,47,1,601,0
28036.443980396645,3,62859.113082837786,9,tech,34,0,672,1
49848.39046640488,8,75788.90283088811,15,manufacturing,31,0,678,1
21179.05122258107,3,30730.25847501716,14,retail,18,0,643,0
124317.38930168975,10,85369.602219039,11,manufacturing,55,0,622,1
333548.064634541,6,89941.84806545176,14,services,58,1,571,0
731137.6700313133,7,65047.94743167696,9,retail,52,0,693,1
175272.0786010475,3,47420.69175126732,10,retail,37,1,727,0
829530.8222698317,4,66782.81763696748,9,agri,39,1,719,0
40941.4608704724,6,1229.4243620405298,11,retail,46,0,675,0
29632.2199650474,6,82659.01702974664,19,services,41,0,511,1
153960.64566428313,6,24526.348903982696,11,agri,8,0,703,0
238963.34451934937,6,41642.05419459294,9,agri,49,0,642,0
157519.6122796308,7,89526.64611697622,10,manufacturing,52,1,608,0
